fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,18,MAHARASHTRA,1803,RAIGAD,150352,287.3429623,22,71,242.1293507,1478,88,18993,228093,6659,3119,53575,14941,42.9022,940.4407337,10276,16017,30390,70343,163,193983,349784,20471,655.409183,95808,71,28.27,2.78,105.39,NA
2024-2025,Dec,18,MAHARASHTRA,1810,PUNE,374487,307.7068799,30,62,414.3061569,7846,202,18111,462533,22565,10288,55030,21208,104.65807,1942.21009,15231,24462,56192,148298,530,380161,817379,25957,1423.245863,169312,93,69.66,0.02,102.07,NA
2024-2025,Dec,18,MAHARASHTRA,1816,JALNA,4179031,286.1332197,43,334,4293.272369,2676,22,50429,4485386,115841,20290,20451,3155,506.84725,17634.299,103372,186400,165610,441148,8132,486329,1089692,53105,12834.17938,1832726,75,48.92,0.64,101.12,NA
2024-2025,Dec,18,MAHARASHTRA,1817,PARBHANI,3394688,314.6798697,40,268,5127.834434,5099,37,34587,3383830,121971,21038,25449,2926,634.30292,16410.36919,83937,133244,144828,325773,5852,421932,812359,39686,10648.23184,1310887,89,56.62,0.1,107.44,NA
2024-2025,Dec,18,MAHARASHTRA,1824,AMRAVATI,6267662,269.5471228,69,1067,12930.51246,13893,3,42140,7307385,709809,54576,2320242,138825,824.10652,33451.465,104744,197605,192976,541324,23143,474541,1066725,56033,19696.84602,3008160,77,42.04,14.03,124.35,NA
2024-2025,Dec,18,MAHARASHTRA,1832,WASHIM,2367506,297.5249438,38,596,1133.262886,2808,2,23454,2279525,161820,20344,65204,7288,364.20168,8279.620041,59941,94512,85518,202611,2315,282479,561355,26262,6782.155475,907020,89,62.53,23.85,99.42,NA
2024-2025,Dec,18,MAHARASHTRA,1807,DHULE,1791861,288.0085239,42,199,463.7575863,4793,16,23768,2061287,75100,16933,323039,73260,207.18665,6607.626499,48345,78633,98463,275151,4575,447982,942145,28561,5936.682263,796367,87,65.67,0.18,102.91,NA
2024-2025,Dec,18,MAHARASHTRA,1810,PUNE,374487,308.0945095,30,64,414.3061569,8100,197,17921,469268,22800,10298,55988,21250,104.65807,1964.75317,15378,24711,56275,148523,547,380246,817648,26021,1445.788943,171959,93,69.65,0.02,102.03,NA
2024-2025,Dec,18,MAHARASHTRA,1812,SANGLI,471705,278.7873264,32,41,611.5199555,3682,44,10453,575920,28413,8034,622,217,105.79457,2322.906496,17703,25459,48317,103183,361,318047,558108,14135,1605.59197,203922,83,43.56,0.14,96.34,NA
2024-2025,Dec,18,MAHARASHTRA,1814,KOLHAPUR,417860,294.424089,30,37,301.4713517,1482,181,9208,497982,50511,18617,823,315,94.22586,1861.876179,16362,26903,47423,114830,547,360365,640405,10690,1466.178967,202072,91,41.36,0.03,113.63,NA
2024-2025,Dec,18,MAHARASHTRA,1822,BULDHANA,1390496,298.8287886,23,163,1036.435885,8692,9,27286,1595418,114455,33794,36426,7643,231.2882,6035.292367,68762,100359,126280,305958,402,486443,1014204,35978,4767.568282,557954,93,41.47,0.66,99.66,NA
2024-2025,Dec,18,MAHARASHTRA,1833,GONDIA,6219077,216.6704379,39,336,10641.62849,16980,15,26995,6188108,510724,52496,965789,90067,675.40661,24724.83581,156389,249090,237485,611461,7862,355548,840684,43975,13407.8007,3956421,78,24.45,11.6,101.87,NA
2024-2025,Dec,18,MAHARASHTRA,1835,PALGHAR,2709589,267.4934238,38,762,3100.551532,12602,17,29559,2752856,10204,1777,2542785,333820,490.20193,10954.46223,71491,132425,125528,372522,4703,313234,732941,42161,7363.708768,1530301,83,18.35,13.03,101.78,NA
